title,album,creator,duration
,,,4 ' 52
Cockroaches,Point Blank,Nailbomb,5 ' 10
Invidia,CATABASE,Ab-Natural,4 ' 39
,,,5 ' 35
Riser,Near Dark,Dance With The Dead,3 ' 39
,,,2 ' 42
,,,3 ' 14
,,,4 ' 16
,,,3 ' 23
,,,5 ' 47
,,,5 ' 10
,,,2 ' 41
,,,3 ' 32
,,,4 ' 46
Nazi vlaams Fuck Off,"White Male Privilege, split LP 2019 with Pakt",MatraK AttakK,2 ' 33
Les eaux du Léthé,CATABASE,Ab-Natural,3 ' 53
Midnight Never Ends,Near Dark,Dance With The Dead,3 ' 21
Dressed To Kill,Near Dark,Dance With The Dead,4 ' 25
,,,8 ' 9
,,,3 ' 50
The Pitt,Near Dark,Dance With The Dead,3 ' 40
,,,4 ' 10
West Coast,Les Inrockuptibles - 100 Trésors Cachés CD2,Coconut Records,3 ' 31
,,,2 ' 11
Pussy Liquor,"Past, Present & Future",Rob Zombie,4 ' 47
,,,5 ' 24
A Plus or a Minus,Cloud Factory,Jinjer,4 ' 34
Mostly Sorrow,"White Male Privilege, split LP 2019 with Pakt",MatraK AttakK,1 ' 52
,,,4 ' 22
,,,5 ' 3
,,,4 ' 1
Personalita' Autoritaria,"White Male Privilege, split LP 2019 with Pakt",MatraK AttakK,1 ' 57
Sweet Home Alabama,Rolling Stone Magazine's 500 Greatest Songs Of All Time,Lynyrd Skynyrd,4 ' 45
,,,5 ' 31
,,,4 ' 18
Near Dark,Near Dark,Dance With The Dead,4 ' 39
,,,5 ' 19
Invader,Near Dark,Dance With The Dead,4 ' 34
Graveyard Shift,Near Dark,Dance With The Dead,3 ' 37
,,,4 ' 45
Eye Of The Storm,Near Dark,Dance With The Dead,4 ' 27
Those Countries Of Yours,"White Male Privilege, split LP 2019 with Pakt",MatraK AttakK,2 ' 23
Andromeda,Near Dark,Dance With The Dead,5 ' 0
,,,4 ' 6
Waves,Near Dark,Dance With The Dead,4 ' 31
,,,0 ' 53
White Male Privilege,"White Male Privilege, split LP 2019 with Pakt",MatraK AttakK,2 ' 4
Sexist Looks,"White Male Privilege, split LP 2019 with Pakt",MatraK AttakK,2 ' 20
,,,3 ' 45
,,,4 ' 5
